Index,Field Name,Cleancode 15 char,Cleancode 15 char,Location,Company name,Code,Founded,Status,Similarity,Company founded,Logging harvester company,CTL,Priority,Canadian logging jobs,Comments,CA logging job posts,MAPS,YP,SAFE,CERTIFICATION,Size,Top Logging contractor,Capacity,CTL,Area of operation,Owner,Type of operation 1,Type of operation 2,Address,City,Province,Postal code,Fone,WEBSITE LINK,Point based on name,Google Maps,WEBSITE,lat,lon
202,Marlo Logging Ltd,Marlo Logging L,MARLOLOGGINGL,BC,MARLO LOGGING LTD.,BC-0368559,6/30/1989 0:00,Active,1,,,,,Canadian logging jobs,Several divisions,"['Marlo Logging Ltd. is looking for an experienced Buncherman in the Bear Lake area. Camp work - able to work lots of hours, competitive wages based on experience & full benefits after 6 months. No room for training at this time - serious inquires only. Please email resume to office@marlologging.ca or fax to 250-992-8836. Thank you.']",Maps,,SAFE,SEBASE,6-19 employed,,,,,,,,PO Box 4064 Stn Main,Quesnel,BC,V2J 3J2,250-991-9904,https://www.marlologging.ca/,,https://www.google.com/maps/place/Marlo+Logging+Ltd/data=!4m5!3m4!1s0x538706503577f961:0x59d0c2dee2d3345b!8m2!3d53.0335006!4d-122.4860933?authuser=0&hl=en&rclk=1,https://dryco.ca/,53.0335006,-122.4860933
,,,,,,,,,,,,,,,,"['Marlo Logging Ltd. is looking for a sub Contracted processor to help for a short time or all winter in the Quesnel area. If you are interested, please call the office @ 250-992-8835. Thank you.']",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"['Marlo Logging Ltd. is looking for an experienced Processor Operator for our Quesnel division. Season to start mid June. Minimum 2 years experience. Home every night hours, Full benefits after 6 months. Competitive wages based on experience. Serious inquires only. No room for training at this time. Please email resume to office@marlologging.ca or fax to 250-992-8836. No phone calls please.', 'Marlo Logging Ltd.', 'Experienced Processor operator ']",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"['Godsoe Contracting Ltd. is looking for an experienced Logging Truck Driver for our Quesnel division. Season to start mid June. Minimum 2 years experience. Home every night hours, Full benefits after 6 months. Competitive wages. Serious inquires only. No room for training at this time. Please email resume to office@marlologging.ca or fax to 250-992-8836. No phone calls please.', '",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Marlo Logging Ltd.', 'Experienced Logging Truck Driver']",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"['Marlo Logging Ltd.', '\xa0', ' Â· ', '25 September 2019', '\xa0', ' Â· ', 'Pitt stop in Merritt! Heard there is around 400 trucks now and we are only half way!! So proud of everyone involved! At home or on the road, everyone is affecteâ€¦ ', 'See more']",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"['0:00', ' / ', '2:04', 'Marlo Logging Ltd.', '\xa0', ' Â· ', '25 September 2019', '\xa0', ' Â· ', 'Thank-you to the amazing woman who sent this incredible video to our trucker David Crewe who, along with hundreds of other truckers, are taking the time to makeâ€¦ ', 'See more']",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"['Marlo Logging Ltd. is looking for an experienced Processor Operator for our Quesnel division. Minimum 2 years experience. Home every night hours, Full benefits after 6 months. Competitive wages based on experience. Serious inquires only. Email resume to office@marlologging.ca or fax to 250-992-8836. No phone calls please.']",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"['Marlo Logging Ltd.', '\xa0', ' Â· ', '21 June 2019', '\xa0', ' Â· ', 'Attention all Loggers: If you can be around for Monday June 24, 2019 @ 11:30am come to the Legion in Quesnel for a very important meeting regarding our forestryâ€¦ ', 'See more']",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"['Marlo Logging Ltd. is looking for an experienced Loaderman/Deckerman for the Bear Lake area. Camp work. Competitive wages. Full benefits after 3 months, pension after 6 months. Newer equipment. Serious inquires only. Email resume to office@marlologging.ca or fax 250-992-8836. Office #: 250-992-8835']",,,,,,,,,,,,,,,,,,,,,,,
299,Frost Lake Logging Ltd,Frost Lake Logg,FROSTLAKELOGG,BC,FROST LAKE LOGGING LTD.,BC-1206886,5/1/2019 0:00,Active,1,,,,,,,,Maps,,SAFE,BASE,>20 employees,,,,,,,,9653 Anzac Cres,Prince George,BC,V2N 0C6,250-562-2482,https://www.frostlake.ca/,,https://www.google.com/maps/place/Frost+Lake+Logging+Ltd/data=!4m5!3m4!1s0x53889e7e42bbcd3b:0xad1372be19c59900!8m2!3d53.8361541!4d-122.7348802?authuser=0&hl=en&rclk=1,,53.8361541,-122.7348802
708,R. Clauson Logging Ltd.,R. Clauson Logg,RCLAUSONLOGG,BC,R. CLAUSON LOGGING LTD.,BC-0911584,6/1/2011 0:00,Active,1,2006-01-11,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,24,,,,
2059,Hi-Sky Enterprises Ltd.,Hi-Sky Enterpri,HISKYENTERPRI,BC,HI-SKY ENTERPRISES LTD.,BC-0246165,12/3/1981 0:00,Active,1,12/03/81,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,0,,,,
2103,Integrated Operations Group Inc.,Integrated Oper,INTEGRATEDOPER,BC,,,,,0,,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,0,,,,
2816,Shinedown Enterprises Ltd.,Shinedown Enter,SHINEDOWNENTER,BC,SHINEDOWN ENTERPRISES LTD.,BC-1191751,1/1/2019 0:00,Active,1,2001-01-19,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,0,,,,
