Index,Field Name,Cleancode 15 char,Cleancode 15 char,Location,Company name,Code,Founded,Status,Similarity,Company founded,Logging harvester company,CTL,Priority,Canadian logging jobs,Comments,CA logging job posts,MAPS,YP,SAFE,CERTIFICATION,Size,Top Logging contractor,Capacity,CTL,Area of operation,Owner,Type of operation 1,Type of operation 2,Address,City,Province,Postal code,Fone,WEBSITE LINK,Point based on name,Google Maps,WEBSITE
1,Otter Point Timber,Otter Point Tim,OTTERPOINTTIM,BC,OTTER POINT TIMBER LTD.,BC-0914507,2011-06-30 0:00,Active,0.9889,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,4300 Thicke Rd,Ladysmith,BC,V9G 1X5,250-245-9657,,,0,
2,Alpine Backhoe Services Ltd,Alpine Backhoe ,ALPINEBACKHOE,BC,ALPINE BACKHOE SERVICES LTD.,BC-0995026,2014-03-01 0:00,Inactive,1.0000,,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,3921 Island Hwy,Campbell River,BC,V9W 2J3,250-287-2220,,,0,
3,Ashlaur Trading Inc,Ashlaur Trading,ASHLAURTRADING,BC,ASHLAUR TRADING INC.,BC-0989299,2014-01-01 0:00,Active,1.0000,,,,,,,,Maps,,SAFE,ISEBASE,2-5 employed,,,,,,,,8010 Island Hwy,Campbell River,BC,V9W 5E1,250-287-2799,,,https://www.google.com/maps/place/Ashlaur+Trading+Inc/data=!4m5!3m4!1s0x410b8455a46860ed:0x4cd8bcf8a5d2f404!8m2!3d49.1266186!4d-122.7013777?authuser=0&hl=en&rclk=1,
4,Schoen Lake Falling Ltd,Schoen Lake Fal,SCHOENLAKEFAL,BC,SCHOEN LAKE FALLING LTD.,BC-0406736,1991-05-29 0:00,Active,1.0000,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,2018 Evergreen Rd,Campbell River,BC,V9W 7L1,250-287-4001,,,0,
5,Tsibass Construction Ltd,Tsibass Constru,TSIBASSCONSTRU,BC,TSIBASS CONSTRUCTION LTD.,BC-0488113,1995-01-12 0:00,Active,1.0000,,,,,,,,,,SAFE,BASE,>20 employees,Top logger,"200,000 cubic metres",,Coastal B.C.,Keith Olsen,Harvesting both softwood and hardwood,Stump-to-dump contractor,2-730 13th Ave,Campbell River,BC,V9W 4H1,250-287-4433,,,0,
6,K & M Trucking Ltd,K & M Trucking ,KMTRUCKING,BC,,,,,0.0000,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,327 Laurie Currie Way,Princeton,BC,V0X 1W0,250-295-6760,,,0,https://www.westernforest.com/
7,Westwood Fibre Ltd,Westwood Fibre ,WESTWOODFIBRE,BC,WESTWOOD FIBRE LTD.,BC-0209704,1980-05-13 0:00,Inactive,1.0000,,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,201-705 Laval Cres,Kamloops,BC,V2C 5P2,250-372-7055,https://westwoodfibre.ca/,,0,
8,L Hinsche Enterprise Ltd,L Hinsche Enter,LHINSCHEENTER,BC,,,,,0.0000,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,835 Vanderburgh Rd,Williams Lake,BC,V2G 4W4,250-392-2348,,,0,
9,Christian Valley Service Ltd,Christian Valle,CHRISTIANVALLE,BC,CHRISTIAN VALLEY SERVICE LTD.,BC-0470959,1994-04-15 0:00,Active,1.0000,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,1755 Hwy 33,Rock Creek,BC,V0H 1Y0,250-446-2437,,,0,
10,Stones Bay Holdings Ltd,Stones Bay Hold,STONESBAYHOLD,BC,STONES BAY HOLDINGS LTD.,BC-1003833,2014-06-01 0:00,Active,1.0000,,,Yes,,Canadian logging jobs,CTL,"['Stones Bay Holdings Ltd.', 'Logging contractor', 'Call Now', 'Stones Bay Holdings Ltd.', '\xa0', ' · ', '1 April at 00:14', '\xa0', ' · ', 'SBH is looking for full time drivers. To start immediately. Hauling until the end of April for the winter season. Summer haul is into PG. Benefits, Pension and … ', 'See more']
['Stones Bay Holdings Ltd.', 'Logging Truck Driver', 'Prince George\xa0·\xa0Full-time', 'Stones Bay Holdings Ltd.', ' posted a job.', '\xa0', ' · ', '21 March', '\xa0', ' · ', 'SBH is looking for full time log truck drivers.  The successful applicants can start immediately and will work out of our full service shop in Prince George. We… ', 'See more']
['Darren McQueen', 'LOGGER🇨🇦UP', '\xa0', ' · ', '14 January', '\xa0', ' · ', 'Stones Bay Holdings Ltd. In Prince George BC has openings for CTL log trucks. We have a two trip haul delivering to Bear Lake and Prince George. 9 axles are wel… ', 'See more']
['Stones Bay Holdings in Prince George has openings for experienced CTL log truck drivers. Message me or email admin@stonesbay.ca. You can also call the office at (250)564-4201', 'Stones Bay Holdings Ltd', 'Experienced CTL Log Truck driver']
['Stones Bay Holdings Ltd. Has an opening for an experienced ctl log truck driver. This position is based out of Prince George delivering to local mills. We run a full service shop and have a great team. If you would like to join our crew, message me or send a resume and abstract to admin@stonesbay.ca.  Camp is not available for this position.', 'Stones Bay Holdings Ltd', 'Log Truck Driver']",,,SAFE,BASE,>20 employees,,,,,,,,1460 4th Avenue,Prince George,BC,V2L 3J7,250-564-4201,,,0,
11,Gulbranson Logging Ltd,Gulbranson Logg,GULBRANSONLOGG,BC,GULBRANSON LOGGING LTD.,BC-1041416,2015-07-01 0:00,Active,1.0000,,,,,,,,Maps,,,,,Top logger,"600,000 cubic metres",Cut-to-length,Central Interior B.C.,Mel Gulbranson and family,"Softwood, tree length and cut-to-length, stump-to-mill delivery",0,1450 Hwy 16 E RR 1,Vanderhoof,BC,V0J 3A1,250-567-4505,,,https://www.google.com/maps/place/Gulbranson+Logging+Ltd/data=!4m5!3m4!1s0x53889ec92a822e2f:0x784b594891b17196!8m2!3d53.876132!4d-122.740738?authuser=0&hl=en&rclk=1,
12,Blue Valley Enterprises Ltd,Blue Valley Ent,BLUEVALLEYENT,BC,BLUE VALLEY ENTERPRISES LTD.,BC-0201779,1979-12-19 0:00,Active,1.0000,,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,971 Highway 16 West,Vanderhoof,BC,V0J 3A0,250-567-9401,,,0,
13,Island Fibre Ltd,Island Fibre Lt,ISLANDFIBRELT,BC,ISLAND FIBRE LTD.,BC-1035297,2015-05-01 0:00,Active,1.0000,,,,,,,,,,SAFE,BASE,>20 employees,Top logger,"600,000 cubic metres",,South Island,Trevor White and Don Bahen,Harvesting primarily tree length softwood,0,5878 York Rd,Duncan,BC,V9L 3S4,250-597-2555,http://coastfibre.ca/about/,,0,
14,Munson Equipment (1992) Ltd,Munson Equipmen,MUNSONEQUIPMEN,BC,MUNSON EQUIPMENT (1992) LTD.,BC-0750115,2006-03-01 0:00,Active,1.0000,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,2043 Davis Lk,Chase,BC,V0E 1M0,250-679-8051,,,0,
15,Denis Francoeur Backhoeing Ltd,Denis Francoeur,DENISFRANCOEUR,BC,DENIS FRANCOEUR BACKHOEING LTD.,BC-0368755,1989-07-04 0:00,Active,1.0000,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,Alberni-Clayoquot F,BC,V9Y 8T5,250-724-1789,https://www.we-dig-it.net/,,0,
16,Peace Valley Industries (2016) Ltd,Peace Valley In,PEACEVALLEYIN,BC,PEACE VALLEY INDUSTRIES (2016) LTD.,BC-1070477,2016-04-01 0:00,Active,1.0000,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,4301 46th Dr NE,Chetwynd,BC,V0C 1J0,250-788-2433,,,0,
17,Young's Mills (1980) Ltd,Young's Mills (,YOUNGSMILLS,BC,YOUNG'S MILLS (1980) LTD.,BC-0217720,1980-10-07 0:00,Active,1.0000,,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,4537 44 Ave NE,Chetwynd,BC,V0C 1J0,250-788-2846,,,0,
18,Triantha Enterprises Ltd,Triantha Enterp,TRIANTHAENTERP,BC,TRIANTHA ENTERPRISES LTD.,BC-0317291,1986-11-13 0:00,Active,1.0000,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,8170 Hwy 16 E,Telkwa,BC,,250-846-5788,,,0,
19,Heiltsuk Coastal Forest Products,Heiltsuk Coasta,HEILTSUKCOASTA,BC,HEILTSUK COASTAL FOREST PRODUCTS LTD.,BC-0741782,2005-11-29 0:00,Active,0.9905,,,,,,,,Maps,,SAFE,SEBASE,6-19 employed,,,,,,,,502 Cheenis St,Bella Bella,BC,V0T 1Z0,250-957-2971,,,https://www.google.com/maps/place/Heiltsuk+Coastal+Forest+Products/data=!4m5!3m4!1s0x5470fe2b9dedbf9b:0x4639b175f8ec691c!8m2!3d52.1603629!4d-128.1455511?authuser=0&hl=en&rclk=1,
