Index,Field Name,Cleancode 15 char,Cleancode 15 char,Location,Company name,Code,Founded,Status,Similarity,Company founded,Logging harvester company,CTL,Priority,Canadian logging jobs,Comments,CA logging job posts,MAPS,YP,SAFE,CERTIFICATION,Size,Top Logging contractor,Capacity,CTL,Area of operation,Owner,Type of operation 1,Type of operation 2,Address,City,Province,Postal code,Fone,WEBSITE LINK,Point based on name,Google Maps,WEBSITE
1,Groot Bros Contracting Ltd,Groot Bros Cont,GROOTBROSCONT,BC,GROOT BROS. CONTRACTING LTD.,BC-0914356,2011-07-01 0:00,Active,1.0000,,Harvester company,Yes,,Canadian logging jobs," Tigercat 870C Feller Buncher '
'Falling for Skidders and Stump side Processin, 
CTL
Forwarder","['Operating a Tigercat 870C Feller Buncher ', 'Falling for Skidders and Stump side Processing', '5 yrs exp. ', 'Vaild Class 5 drivers Lic.', 'Team Playerâ€¦ ', 'See more', 'Groot Bros Contracting Ltd', 'Feller Buncher Operator']
['Processor Operator', '- CTL and long logs', '- 2 years experience', '- Valid Class 5 licence ', '- Focused on Safety, Quality, Productivity and Machine maintenance  â€¦ ', 'See more', 'Groot Bros Contracting Ltd', 'Processor operator', 'Houston\xa0Â·\xa0Full-time\xa0Â·\xa0CA$28-CA$32/hour', 'Apply Now']
['Haul CTL logs into Local Mills, Canfor, West Fraser, Pinnacle.', 'Houston, Smithers, Burns Lake', 'Groot Bros Contracting Ltd', 'CTL Sub Contract Log Trucks ']
['Groot Bros Contracting Ltd', 'Forwarder Operator', 'Houston\xa0Â·\xa0Full-time', 'Groot Bros Contracting Ltd', ' posted a job.', '\xa0', ' Â· ', '12 August 2019', '\xa0', ' Â· ', 'Groot Bros Contracting Ltd has a career opportunity for an experienced forwarder operator.', 'Work is in the Houston area.', 'The ideal candidate has; min 3 years eâ€¦ ', 'See more']
['Groot Bros Contracting Ltd in Houston B.C. is looking for experienced Forwarder operator.', 'Email resume with references to mgroot@telus.net', 'Competitive wages ', 'Pension and benefits ', 'Flights and accommodations can be arranged.']",Maps,,,,,Top logger,"350,000 cubic metres",,Area logged: Houston,John and George Groot,Softwood/Tree length,0,1300 Morice River Rd,Houston,BC,V0J 1Z0,250-845-0093,,,https://www.google.com/maps/place/Groot+Bros+Contracting+Ltd/data=!4m5!3m4!1s0x5475c6868cef0ea5:0x5642bc78f221b03b!8m2!3d54.3766234!4d-126.7137079?authuser=0&hl=en&rclk=1,
2,Groot Bros. Contracting Ltd.,Groot Bros. Con,GROOTBROSCON,BC,GROOT BROS. CONTRACTING LTD.,BC-0914356,2011-07-01 0:00,Active,1.0000,07/01/11,Harvester company,Yes,,,,,,,SAFE,BASE,>20 employees,Top logger,"320,000 cubic metres",Cut-to-length,Nadina Forest District,John and George Groot,"Softwood, tree length and cut-to-length",0,,,,,,,26,,
3,Munden Ventures Ltd.,Munden Ventures,MUNDENVENTURES,BC,MUNDEN VENTURES LTD.,BC-0313443,1986-08-18 0:00,Active,1.0000,08/18/86,Harvester company,Yes,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,2,,
4,Lo-Bar Log Transport Co Ltd,Lo-Bar Log Tran,LOBARLOGTRAN,BC,LO-BAR LOG TRANSPORT CO. LTD.,BC-0857297,2009-08-01 0:00,Active,1.0000,,Harvester company,Yes,,,,,Maps,,SAFE,BASE,>20 employees,Top logger,"430,000 cubic metres",Cut-to-length,Prince George,Greg Jacob,"Softwood, cut-to-length, stumpside delivery",0,"8377 John Hart Hwy, Prince George",,BC, V2K 3B8,(250) 962-8644,NA,,https://www.google.com/maps/place/Lo-Bar+Log+Transport+Co+Ltd/data=!4m5!3m4!1s0x53889e81041875a1:0x5a60101ec4cf9cc6!8m2!3d54.007113!4d-122.8018779?authuser=0&hl=en&rclk=1,
5,Hoobanoff Logging Ltd,Hoobanoff Loggi,HOOBANOFFLOGGI,BC,HOOBANOFF LOGGING LIMITED,BC-0386507,1990-05-01 0:00,Active,0.8606,,Harvester company,,,,,,Maps,,SAFE,SEBASE,6-19 employed,,,,,,,,4746 Beatty,Canal Flats,BC,V0B 1B0,250-349-5415,,,https://www.google.com/maps/place/Hoobanoff+Logging+Ltd/data=!4m5!3m4!1s0x537aeb1faa807da3:0x7a11639ea3eca27b!8m2!3d50.1586186!4d-115.8265507?authuser=0&hl=en&rclk=1,
6,Columbia Extreme Contracting Ltd.,Columbia Extrem,COLUMBIAEXTREM,BC,COLUMBIA EXTREME CONTRACTING LTD.,BC-0842951,2009-01-05 0:00,Active,1.0000,01/05/09,Harvester company,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,36,,https://www.westernforest.com/
7,Clear Cut Kings Logging Ltd.,Clear Cut Kings,CLEARCUTKINGS,BC,CLEAR CUT KINGS LOGGING LTD.,BC-0976073,2013-07-23 0:00,Active,1.0000,07/23/13,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,34,,
8,Myatovic Bros. Logging Ltd.,Myatovic Bros. ,MYATOVICBROS,BC,MYATOVIC BROS. LOGGING LTD.,BC-1185070,2018-11-01 0:00,Active,1.0000,11/01/18,Harvester company,,,,,,,,SAFE,BASE,>20 employees,Top logger,"300,000 cubic metres",Cut-to-length,Mackenzie,Jerry Myatovic,"Softwood, cut-to-length",0,,,,,,,32,,
9,Critical Site Logging Inc.,Critical Site L,CRITICALSITEL,BC,CRITICAL SITE LOGGING INC.,BC-0291135,1985-04-16 0:00,Active,1.0000,04/16/85,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,30,,
10,Diamond Three Contracting & Recycling 1996 Ltd.,Diamond Three C,DIAMONDTHREEC,BC,DIAMOND THREE CONTRACTING AND RECYCLING (1996) LTD.,BC-0525940,1996-08-27 0:00,Active,0.9800,,Harvester company,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,30,,
